zipcode,population
50124,"3,750"
94595,"16,425"
94513,"54,605"
37922,"33,180"
2188,"14,608"
86336,"11,320"
12134,"3,516"
66160,
37129,"49,103"
59718,"27,367"
77044,"30,949"
85346,"4,423"
70817,"31,192"
60561,"23,115"
89815,"13,346"
29678,"21,676"
64114,"23,158"
76712,"23,506"
21040,"24,420"
66112,"11,458"
33701,"15,014"
2466,"8,096"
63670,"11,295"
27205,"33,216"
32506,"33,846"
98610,"2,871"
20724,"16,093"
97015,"19,521"
27406,"56,458"
34285,"17,599"
46259,"11,617"
78778,
19720,"59,250"
93451,"3,779"
77098,"13,076"
74104,"12,724"
10016,"54,183"
74017,"28,057"
53072,"23,907"
77015,"53,621"
23060,"33,417"
29708,"25,035"
78542,"63,293"
7078,"13,250"
27330,"37,947"
73069,"23,912"
64831,"5,879"
67226,"17,757"
35226,"31,471"
90277,"35,293"
61462,"11,643"
97045,"51,359"
95076,"82,474"
76877,"4,558"
52772,"5,029"
76266,"13,495"
1960,"50,944"
10562,"31,796"
64118,"40,191"
71973,"1,424"
22207,"30,920"
34761,"37,500"
68849,384
75247,468
29072,"49,566"
45440,"20,734"
53214,"34,725"
75204,"26,279"
78957,"9,067"
14067,"5,040"
10011,"50,984"
64106,"7,701"
87506,"12,580"
44147,"19,480"
66044,"28,417"
17010,182
77003,"10,508"
77702,"2,893"
30341,"31,793"
75058,"2,982"
10705,"38,777"
74029,"5,128"
14221,"53,555"
75219,"22,124"
60660,"42,752"
19081,"10,337"
8318,"12,702"
78249,"49,951"
60605,"24,668"
73132,"26,432"
75428,"10,089"
44115,"8,307"
74128,"12,676"
75254,"23,253"
32214,
32207,"33,306"
21234,"69,752"
64112,"8,147"
92879,"46,745"
89123,"56,300"
40007,166
63025,"13,854"
76013,"30,680"
67347,431
23801,"3,393"
78774,
80209,"21,526"
78130,"59,546"
74131,"2,775"
78629,"11,887"
75238,"30,483"
19114,"30,907"
95864,"22,447"
72160,"10,736"
95066,"14,749"
65672,"9,048"
74361,"16,293"
76527,"4,058"
71343,"7,678"
78763,
75093,"47,187"
28139,"20,111"
66101,"13,220"
62048,"1,459"
78233,"43,710"
33426,"20,082"
67332,207
15120,"18,931"
30318,"49,736"
85224,"42,796"
74110,"14,862"
64850,"24,063"
77354,"30,215"
49418,"27,417"
31047,"11,193"
74939,"1,455"
98033,"34,338"
68108,"14,664"
64735,"13,258"
91008,"1,391"
11430,184
94599,"3,021"
63026,"44,124"
48030,"16,422"
66748,"2,750"
35022,"18,888"
92782,"23,032"
77070,"46,017"
46804,"27,245"
55124,"49,084"
97140,"23,474"
21401,"36,012"
38138,"24,045"
20879,"24,360"
75067,"60,982"
42718,"24,312"
80421,"8,042"
78261,"13,513"
23235,"30,165"
72901,"21,591"
85254,"45,801"
73082,"2,980"
39157,"24,645"
73111,"11,781"
67005,"16,535"
31406,"33,965"
28678,"5,226"
45414,"21,055"
98005,"17,714"
64132,"13,810"
74056,"5,720"
92647,"57,245"
36832,"22,071"
23234,"42,989"
24055,"13,674"
75048,"20,328"
27605,"4,495"
37122,"46,463"
90066,"55,277"
65712,"8,494"
77386,"36,407"
8085,"18,737"
93215,"55,659"
78606,"5,205"
76857,"1,791"
10465,"42,230"
48160,"13,785"
93535,"72,046"
32765,"56,349"
75025,"50,926"
67211,"20,644"
27615,"42,166"
78401,"5,391"
21158,"20,234"
78650,"1,599"
34238,"17,500"
34221,"39,457"
66757,"3,560"
76543,"30,430"
49435,"3,549"
79201,"7,040"
74354,"18,126"
91702,"59,705"
10009,"61,347"
11518,"10,549"
43123,"58,424"
83702,"22,293"
75244,"13,266"
20024,"11,510"
92701,"53,908"
74820,"30,802"
91354,"28,722"
76092,"26,669"
77479,"74,514"
40360,"6,564"
94550,"46,896"
78227,"46,077"
21211,"17,351"
